Frame,BPM,BPM_filtre,BPM_interp
796,64.0,0.0,96.0
797,64.0,0.0,96.0
798,64.0,0.0,96.0
799,64.0,0.0,96.0
800,64.0,0.0,96.0
801,64.0,0.0,96.0
802,64.0,0.0,96.0
803,64.0,0.0,96.0
804,64.0,0.0,96.0
805,64.0,0.0,96.0
806,64.0,0.0,96.0
807,64.0,0.0,96.0
808,64.0,0.0,96.0
809,64.0,0.0,96.0
810,64.0,0.0,96.0
811,64.0,0.0,96.0
812,64.0,0.0,96.0
813,64.0,0.0,96.0
814,64.0,0.0,96.0
815,64.0,0.0,96.0
816,64.0,0.0,96.0
817,64.0,0.0,96.0
818,64.0,0.0,96.0
819,64.0,0.0,96.0
820,64.0,0.0,96.0
821,64.0,0.0,96.0
822,64.0,0.0,96.0
823,64.0,0.0,96.0
824,64.0,0.0,96.0
825,112.0,0.0,96.0
826,112.0,0.0,96.0
827,112.0,0.0,96.0
828,112.0,0.0,96.0
829,112.0,0.0,96.0
830,112.0,0.0,96.0
831,112.0,0.0,96.0
832,112.0,0.0,96.0
833,112.0,0.0,96.0
834,112.0,0.0,96.0
835,112.0,0.0,96.0
836,112.0,0.0,96.0
837,112.0,0.0,96.0
838,112.0,0.0,96.0
839,112.0,0.0,96.0
840,112.0,0.0,96.0
841,112.0,0.0,96.0
842,112.0,0.0,96.0
843,112.0,0.0,96.0
844,112.0,0.0,96.0
845,112.0,0.0,96.0
846,112.0,0.0,96.0
847,112.0,0.0,96.0
848,112.0,0.0,96.0
849,112.0,0.0,96.0
850,112.0,0.0,96.0
851,112.0,0.0,96.0
852,112.0,0.0,96.0
853,112.0,0.0,96.0
854,112.0,0.0,96.0
855,112.0,0.0,96.0
856,112.0,0.0,96.0
857,112.0,0.0,96.0
858,112.0,0.0,96.0
859,112.0,0.0,96.0
860,112.0,0.0,96.0
861,112.0,0.0,96.0
862,112.0,0.0,96.0
863,112.0,0.0,96.0
864,112.0,0.0,96.0
865,112.0,0.0,96.0
866,112.0,0.0,96.0
867,112.0,0.0,96.0
868,112.0,0.0,96.0
869,112.0,0.0,96.0
870,72.0,0.0,96.0
871,72.0,0.0,96.0
872,72.0,0.0,96.0
873,72.0,0.0,96.0
874,72.0,0.0,96.0
875,72.0,0.0,96.0
876,72.0,0.0,96.0
877,72.0,0.0,96.0
878,72.0,0.0,96.0
879,72.0,0.0,96.0
880,72.0,0.0,96.0
881,72.0,0.0,96.0
882,72.0,0.0,96.0
883,72.0,0.0,96.0
884,72.0,0.0,96.0
885,96.0,96.0,96.0
886,96.0,96.0,96.0
887,96.0,96.0,96.0
888,96.0,96.0,96.0
889,96.0,96.0,96.0
890,96.0,96.0,96.0
891,96.0,96.0,96.0
892,96.0,96.0,96.0
893,96.0,96.0,96.0
894,96.0,96.0,96.0
895,96.0,96.0,96.0
896,96.0,96.0,96.0
897,96.0,96.0,96.0
898,96.0,96.0,96.0
899,96.0,96.0,96.0
900,96.0,96.0,96.0
901,96.0,96.0,96.0
902,96.0,96.0,96.0
903,96.0,96.0,96.0
904,96.0,96.0,96.0
905,96.0,96.0,96.0
906,96.0,96.0,96.0
907,96.0,96.0,96.0
908,96.0,96.0,96.0
909,96.0,96.0,96.0
910,96.0,96.0,96.0
911,96.0,96.0,96.0
912,96.0,96.0,96.0
913,96.0,96.0,96.0
914,96.0,96.0,96.0
915,96.0,96.0,96.0
916,96.0,96.0,96.0
917,96.0,96.0,96.0
918,96.0,96.0,96.0
919,96.0,96.0,96.0
920,96.0,96.0,96.0
921,96.0,96.0,96.0
922,96.0,96.0,96.0
923,96.0,96.0,96.0
924,96.0,96.0,96.0
925,96.0,96.0,96.0
926,96.0,96.0,96.0
927,96.0,96.0,96.0
928,96.0,96.0,96.0
929,96.0,96.0,96.0
930,96.0,96.0,96.0
931,96.0,96.0,96.0
932,96.0,96.0,96.0
933,96.0,96.0,96.0
934,96.0,96.0,96.0
935,96.0,96.0,96.0
936,96.0,96.0,96.0
937,96.0,96.0,96.0
938,96.0,96.0,96.0
939,96.0,96.0,96.0
940,96.0,96.0,96.0
941,96.0,96.0,96.0
942,96.0,96.0,96.0
943,96.0,96.0,96.0
944,96.0,96.0,96.0
945,112.0,0.0,95.82352941176471
946,112.0,0.0,95.6470588235294
947,112.0,0.0,95.47058823529412
948,112.0,0.0,95.29411764705883
949,112.0,0.0,95.11764705882354
950,112.0,0.0,94.94117647058823
951,112.0,0.0,94.76470588235294
952,112.0,0.0,94.58823529411765
953,112.0,0.0,94.41176470588235
954,112.0,0.0,94.23529411764706
955,112.0,0.0,94.05882352941177
956,112.0,0.0,93.88235294117646
957,112.0,0.0,93.70588235294117
958,112.0,0.0,93.52941176470588
959,112.0,0.0,93.3529411764706
960,96.0,0.0,93.17647058823529
961,96.0,0.0,93.0
962,96.0,0.0,92.82352941176471
963,96.0,0.0,92.6470588235294
964,96.0,0.0,92.47058823529412
965,96.0,0.0,92.29411764705883
966,96.0,0.0,92.11764705882354
967,96.0,0.0,91.94117647058823
968,96.0,0.0,91.76470588235294
969,96.0,0.0,91.58823529411765
970,96.0,0.0,91.41176470588235
971,96.0,0.0,91.23529411764706
972,96.0,0.0,91.05882352941177
973,96.0,0.0,90.88235294117646
974,96.0,0.0,90.70588235294117
975,104.0,0.0,90.52941176470588
976,104.0,0.0,90.3529411764706
977,104.0,0.0,90.17647058823529
978,104.0,0.0,90.0
979,104.0,0.0,89.82352941176471
980,104.0,0.0,89.6470588235294
981,104.0,0.0,89.47058823529412
982,104.0,0.0,89.29411764705883
983,104.0,0.0,89.11764705882354
984,104.0,0.0,88.94117647058823
985,104.0,0.0,88.76470588235294
986,104.0,0.0,88.58823529411765
987,104.0,0.0,88.41176470588235
988,104.0,0.0,88.23529411764706
989,104.0,0.0,88.05882352941177
990,104.0,0.0,87.88235294117646
991,104.0,0.0,87.70588235294117
992,104.0,0.0,87.52941176470588
993,104.0,0.0,87.35294117647058
994,104.0,0.0,87.17647058823529
995,104.0,0.0,87.0
996,104.0,0.0,86.82352941176471
997,104.0,0.0,86.6470588235294
998,104.0,0.0,86.47058823529412
999,104.0,0.0,86.29411764705883
1000,104.0,0.0,86.11764705882354
